row_number,rule_name,severity,issue_type,event_id,session_id
428,Duplicate event_id,HIGH,Duplicate record,b1f6c4d4-48bb-41cd-bbe4-a036ae960fc2,bc1dd34e-e2b4-40a5-be33-17fcb448363d
432,Duplicate event_id,HIGH,Duplicate record,4a0d262f-37ba-4659-9535-cc7942a1ce32,91ca5769-55df-4f3f-bf66-5ed1ebf0f5fe
443,Duplicate event_id,HIGH,Duplicate record,4a0d262f-37ba-4659-9535-cc7942a1ce32,91ca5769-55df-4f3f-bf66-5ed1ebf0f5fe
448,Duplicate event_id,HIGH,Duplicate record,be2a0d00-139c-4d8c-a5b0-25304d546ce0,5cf15453-ab89-4b63-9865-7e340c15747d
463,Duplicate event_id,HIGH,Duplicate record,508aec74-a29b-421e-bc5a-9c40f2833b53,eff473e5-d827-4d62-8358-291c4347eea5
466,Duplicate event_id,HIGH,Duplicate record,856e356e-84d1-4c2e-a7f9-af6ce2264338,1f2eae4b-d609-4d6d-aca7-1ac11f814278
471,Duplicate event_id,HIGH,Duplicate record,72373e89-074d-4930-834c-e0f7e5f43c08,dd6868a5-a36f-446a-bc9d-6645756b9dae
482,Duplicate event_id,HIGH,Duplicate record,db88c723-a67d-4132-9a79-060a4b83baa4,11deaa9c-7892-4cc5-9483-7f2f02ccc096
508,Duplicate event_id,HIGH,Duplicate record,700df989-f6a0-4e83-b25d-d84b7e2d8458,945ed0c9-e121-4c30-9755-f3303d4603db
520,Duplicate event_id,HIGH,Duplicate record,d9e8b4ab-6dbf-4fa3-b94f-9732f8ebaa46,dd6868a5-a36f-446a-bc9d-6645756b9dae
536,Duplicate event_id,HIGH,Duplicate record,eb106a8d-34fe-4139-83ac-f3ab430442a5,8cd896f5-5264-4cb6-b582-5253cf38aa11
550,Duplicate event_id,HIGH,Duplicate record,fd965b5a-d13e-412a-a43f-4f2a54618061,f04c40b3-270c-4290-9ceb-c86b1dc3e691
561,Duplicate event_id,HIGH,Duplicate record,7ea0169b-226b-49b7-9156-cc657fb1ee0e,152c2e68-eaf4-4848-a1db-0001dc4bb379
572,Duplicate event_id,HIGH,Duplicate record,e831fae4-51a0-469e-a7c6-23e3d929ca75,11deaa9c-7892-4cc5-9483-7f2f02ccc096
577,Duplicate event_id,HIGH,Duplicate record,27ad9091-e24c-451c-8f15-e11cc414a64e,741c3404-9813-4d95-83bb-ad66a56bf881
